user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,period_month
,Total,M,197907,GASC_LOCAL,Terajoule,239.0,,1979-07-01
2,Commercial,M,197908,ELEC_LOCAL,Terajoule,1385.0,,1979-08-01
1,Domestic,M,197908,ELEC_LOCAL,Terajoule,893.0,,1979-08-01
3,Industrial,M,197908,ELEC_LOCAL,Terajoule,1354.0,,1979-08-01
4,Street lighting,M,197908,ELEC_LOCAL,Terajoule,9.0,,1979-08-01
,Total,M,197908,ELEC_LOCAL,Terajoule,3641.0,,1979-08-01
,,M,197908,ELE_EX_CHN,Terajoule,88.0,,1979-08-01
2,Commercial,M,197908,GASC_LOCAL,Terajoule,105.0,,1979-08-01
1,Domestic,M,197908,GASC_LOCAL,Terajoule,102.0,,1979-08-01
3,Industrial,M,197908,GASC_LOCAL,Terajoule,18.0,,1979-08-01
,Total,M,197908,GASC_LOCAL,Terajoule,224.0,,1979-08-01
2,Commercial,M,197909,ELEC_LOCAL,Terajoule,1331.0,,1979-09-01
1,Domestic,M,197909,ELEC_LOCAL,Terajoule,824.0,,1979-09-01
3,Industrial,M,197909,ELEC_LOCAL,Terajoule,1283.0,,1979-09-01
4,Street lighting,M,197909,ELEC_LOCAL,Terajoule,9.0,,1979-09-01
,Total,M,197909,ELEC_LOCAL,Terajoule,3447.0,,1979-09-01
,,M,197909,ELE_EX_CHN,Terajoule,82.0,,1979-09-01
2,Commercial,M,197909,GASC_LOCAL,Terajoule,109.0,,1979-09-01
1,Domestic,M,197909,GASC_LOCAL,Terajoule,105.0,,1979-09-01
3,Industrial,M,197909,GASC_LOCAL,Terajoule,18.0,,1979-09-01
,Total,M,197909,GASC_LOCAL,Terajoule,233.0,,1979-09-01
2,Commercial,M,197910,ELEC_LOCAL,Terajoule,1241.0,,1979-10-01
1,Domestic,M,197910,ELEC_LOCAL,Terajoule,644.0,,1979-10-01
3,Industrial,M,197910,ELEC_LOCAL,Terajoule,1268.0,,1979-10-01
4,Street lighting,M,197910,ELEC_LOCAL,Terajoule,10.0,,1979-10-01
,Total,M,197910,ELEC_LOCAL,Terajoule,3163.0,,1979-10-01
,,M,197910,ELE_EX_CHN,Terajoule,107.0,,1979-10-01
2,Commercial,M,197910,GASC_LOCAL,Terajoule,109.0,,1979-10-01
1,Domestic,M,197910,GASC_LOCAL,Terajoule,112.0,,1979-10-01
3,Industrial,M,197910,GASC_LOCAL,Terajoule,17.0,,1979-10-01
,Total,M,197910,GASC_LOCAL,Terajoule,238.0,,1979-10-01
2,Commercial,M,197911,ELEC_LOCAL,Terajoule,1134.0,,1979-11-01
1,Domestic,M,197911,ELEC_LOCAL,Terajoule,527.0,,1979-11-01
3,Industrial,M,197911,ELEC_LOCAL,Terajoule,1217.0,,1979-11-01
4,Street lighting,M,197911,ELEC_LOCAL,Terajoule,10.0,,1979-11-01
,Total,M,197911,ELEC_LOCAL,Terajoule,2888.0,,1979-11-01
,,M,197911,ELE_EX_CHN,Terajoule,121.0,,1979-11-01
2,Commercial,M,197911,GASC_LOCAL,Terajoule,119.0,,1979-11-01
1,Domestic,M,197911,GASC_LOCAL,Terajoule,126.0,,1979-11-01
3,Industrial,M,197911,GASC_LOCAL,Terajoule,18.0,,1979-11-01
,Total,M,197911,GASC_LOCAL,Terajoule,263.0,,1979-11-01
2,Commercial,M,197912,ELEC_LOCAL,Terajoule,1020.0,,1979-12-01
1,Domestic,M,197912,ELEC_LOCAL,Terajoule,508.0,,1979-12-01
3,Industrial,M,197912,ELEC_LOCAL,Terajoule,1154.0,,1979-12-01
4,Street lighting,M,197912,ELEC_LOCAL,Terajoule,11.0,,1979-12-01
,Total,M,197912,ELEC_LOCAL,Terajoule,2693.0,,1979-12-01
,,M,197912,ELE_EX_CHN,Terajoule,112.0,,1979-12-01
2,Commercial,M,197912,GASC_LOCAL,Terajoule,119.0,,1979-12-01
1,Domestic,M,197912,GASC_LOCAL,Terajoule,142.0,,1979-12-01
3,Industrial,M,197912,GASC_LOCAL,Terajoule,16.0,,1979-12-01
,Total,M,197912,GASC_LOCAL,Terajoule,277.0,,1979-12-01
2,Commercial,M,198001,ELEC_LOCAL,Terajoule,1064.0,,1980-01-01
1,Domestic,M,198001,ELEC_LOCAL,Terajoule,558.0,,1980-01-01
3,Industrial,M,198001,ELEC_LOCAL,Terajoule,1185.0,,1980-01-01
4,Street lighting,M,198001,ELEC_LOCAL,Terajoule,12.0,,1980-01-01
,Total,M,198001,ELEC_LOCAL,Terajoule,2819.0,,1980-01-01
,,M,198001,ELE_EX_CHN,Terajoule,120.0,,1980-01-01
2,Commercial,M,198001,GASC_LOCAL,Terajoule,131.0,,1980-01-01
1,Domestic,M,198001,GASC_LOCAL,Terajoule,164.0,,1980-01-01
3,Industrial,M,198001,GASC_LOCAL,Terajoule,19.0,,1980-01-01
,Total,M,198001,GASC_LOCAL,Terajoule,314.0,,1980-01-01
2,Commercial,M,198002,ELEC_LOCAL,Terajoule,954.0,,1980-02-01
1,Domestic,M,198002,ELEC_LOCAL,Terajoule,564.0,,1980-02-01
3,Industrial,M,198002,ELEC_LOCAL,Terajoule,893.0,,1980-02-01
4,Street lighting,M,198002,ELEC_LOCAL,Terajoule,12.0,,1980-02-01
,Total,M,198002,ELEC_LOCAL,Terajoule,2423.0,,1980-02-01
,,M,198002,ELE_EX_CHN,Terajoule,106.0,,1980-02-01
2,Commercial,M,198002,GASC_LOCAL,Terajoule,133.0,,1980-02-01
1,Domestic,M,198002,GASC_LOCAL,Terajoule,173.0,,1980-02-01
3,Industrial,M,198002,GASC_LOCAL,Terajoule,16.0,,1980-02-01
,Total,M,198002,GASC_LOCAL,Terajoule,321.0,,1980-02-01
2,Commercial,M,198003,ELEC_LOCAL,Terajoule,1006.0,,1980-03-01
1,Domestic,M,198003,ELEC_LOCAL,Terajoule,535.0,,1980-03-01
3,Industrial,M,198003,ELEC_LOCAL,Terajoule,1034.0,,1980-03-01
4,Street lighting,M,198003,ELEC_LOCAL,Terajoule,11.0,,1980-03-01
,Total,M,198003,ELEC_LOCAL,Terajoule,2586.0,,1980-03-01
,,M,198003,ELE_EX_CHN,Terajoule,101.0,,1980-03-01
2,Commercial,M,198003,GASC_LOCAL,Terajoule,123.0,,1980-03-01
1,Domestic,M,198003,GASC_LOCAL,Terajoule,173.0,,1980-03-01
3,Industrial,M,198003,GASC_LOCAL,Terajoule,15.0,,1980-03-01
,Total,M,198003,GASC_LOCAL,Terajoule,310.0,,1980-03-01
2,Commercial,M,198004,ELEC_LOCAL,Terajoule,1168.0,,1980-04-01
1,Domestic,M,198004,ELEC_LOCAL,Terajoule,560.0,,1980-04-01
3,Industrial,M,198004,ELEC_LOCAL,Terajoule,1260.0,,1980-04-01
4,Street lighting,M,198004,ELEC_LOCAL,Terajoule,11.0,,1980-04-01
,Total,M,198004,ELEC_LOCAL,Terajoule,2999.0,,1980-04-01
,,M,198004,ELE_EX_CHN,Terajoule,105.0,,1980-04-01
2,Commercial,M,198004,GASC_LOCAL,Terajoule,135.0,,1980-04-01
1,Domestic,M,198004,GASC_LOCAL,Terajoule,170.0,,1980-04-01
3,Industrial,M,198004,GASC_LOCAL,Terajoule,19.0,,1980-04-01
,Total,M,198004,GASC_LOCAL,Terajoule,324.0,,1980-04-01
2,Commercial,M,198005,ELEC_LOCAL,Terajoule,1279.0,,1980-05-01
1,Domestic,M,198005,ELEC_LOCAL,Terajoule,582.0,,1980-05-01
3,Industrial,M,198005,ELEC_LOCAL,Terajoule,1342.0,,1980-05-01
4,Street lighting,M,198005,ELEC_LOCAL,Terajoule,10.0,,1980-05-01
,Total,M,198005,ELEC_LOCAL,Terajoule,3213.0,,1980-05-01
,,M,198005,ELE_EX_CHN,Terajoule,72.0,,1980-05-01
2,Commercial,M,198005,GASC_LOCAL,Terajoule,128.0,,1980-05-01
1,Domestic,M,198005,GASC_LOCAL,Terajoule,144.0,,1980-05-01
3,Industrial,M,198005,GASC_LOCAL,Terajoule,19.0,,1980-05-01
,Total,M,198005,GASC_LOCAL,Terajoule,291.0,,1980-05-01
2,Commercial,M,198006,ELEC_LOCAL,Terajoule,1418.0,,1980-06-01
1,Domestic,M,198006,ELEC_LOCAL,Terajoule,738.0,,1980-06-01
3,Industrial,M,198006,ELEC_LOCAL,Terajoule,1315.0,,1980-06-01
4,Street lighting,M,198006,ELEC_LOCAL,Terajoule,10.0,,1980-06-01
,Total,M,198006,ELEC_LOCAL,Terajoule,3481.0,,1980-06-01
,,M,198006,ELE_EX_CHN,Terajoule,73.0,,1980-06-01
2,Commercial,M,198006,GASC_LOCAL,Terajoule,126.0,,1980-06-01
1,Domestic,M,198006,GASC_LOCAL,Terajoule,140.0,,1980-06-01
3,Industrial,M,198006,GASC_LOCAL,Terajoule,19.0,,1980-06-01
,Total,M,198006,GASC_LOCAL,Terajoule,286.0,,1980-06-01
2,Commercial,M,198007,ELEC_LOCAL,Terajoule,1618.0,,1980-07-01
1,Domestic,M,198007,ELEC_LOCAL,Terajoule,1044.0,,1980-07-01
3,Industrial,M,198007,ELEC_LOCAL,Terajoule,1447.0,,1980-07-01
