period_month,building_consent_demolition_count,building_consent_site_formation_count,building_consent_foundation_count,building_consent_superstructure_count,building_consent_total_count,occupation_permits_domestic_count,occupation_permits_non_domestic_count,occupation_permits_composite_count,occupation_permits_total_count,occupation_permits_domestic_units,building_completion_domestic_gfa,building_completion_non_domestic_gfa,building_completion_total_gfa,building_completion_domestic_ufa,building_completion_non_domestic_ufa,building_completion_total_ufa,building_completion_domestic_units,building_completion_declared_cost_hkd,building_completion_declared_cost_aa_hkd
2014-10-01,7,16,30,14,67,1,12,3,16,109,11350.0,201056.6,212406.6,5766.4,146261.1,152027.5,109,4080934289.0,210566726.5
2014-11-01,5,10,17,9,41,1,6,4,11,849,47106.8,11297.9,58404.7,26291.6,6461.0,32752.6,849,1501271064.0,779294369.2
2014-12-01,7,13,11,16,47,4,9,4,17,2577,230531.2,69095.9,299627.1,134533.3,41777.3,176310.6,2577,6967868123.0,306818700.0
2015-01-01,11,9,18,16,54,4,6,2,12,233,20162.5,37336.9,57499.4,9671.6,28570.7,38242.3,233,1422240000.0,493047031.0
2015-02-01,9,8,13,18,48,6,12,2,20,125,11741.1,35798.2,47539.3,6943.0,25146.2,32089.2,125,1515852600.0,447249116.0
2015-03-01,5,11,9,19,44,8,14,3,25,495,34257.8,42117.3,76375.1,19344.7,20078.1,39422.8,495,2479881478.0,345648034.0
2015-04-01,6,11,10,19,46,2,7,1,10,2084,113400.3,16994.7,130395.0,62327.4,8994.3,71321.7,2084,3475960948.0,507412899.0
2015-05-01,8,9,10,17,44,2,5,1,8,409,24428.1,111858.3,136286.4,14209.0,76403.9,90612.9,409,2712086000.0,394547466.0
2015-06-01,8,9,14,25,56,6,3,9,18,2712,274223.8,48666.3,322890.1,163372.7,26746.0,190118.7,2712,10277959170.0,489206340.0
2015-07-01,8,10,11,12,41,6,10,2,18,744,57362.9,18867.0,76229.9,31835.4,11606.3,43441.7,744,2831360092.0,328547883.8
2015-08-01,13,8,11,12,44,4,15,3,22,498,41823.7,104082.7,145906.4,23167.1,67471.2,90638.3,498,3990712831.0,803477949.9
2015-09-01,7,8,15,16,46,2,6,3,11,1620,144039.9,74167.3,218207.2,81475.5,40031.3,121506.8,1620,2540189536.0,743305945.2
2015-10-01,8,7,17,13,45,5,7,1,13,1121,84443.3,37462.8,121906.1,50549.4,29278.5,79827.9,1121,3431082800.0,373210586.5
2015-11-01,6,7,10,7,30,3,11,6,20,1317,160145.4,40297.1,200442.5,87584.5,24328.2,111912.7,1317,7022882069.0,645581490.0
2015-12-01,10,19,11,25,65,10,15,2,27,1248,108557.1,255047.4,363604.5,58165.9,96292.6,154458.5,1248,8668361655.0,322649869.8
2016-01-01,11,4,12,11,38,2,11,1,14,199,21824.7,82158.3,103983.0,10588.9,56446.5,67035.4,199,2983636260.0,197211038.3
2016-02-01,8,9,10,12,39,3,7,3,13,771,87666.0,45656.6,133322.6,51695.7,33072.6,84768.3,771,4648961558.0,734643191.6
2016-03-01,9,12,19,17,57,4,16,2,22,833,80960.5,149580.3,230540.8,42592.1,89310.1,131902.2,833,4891755963.0,664864864.0
2016-04-01,8,11,8,9,36,7,8,2,17,530,53202.5,70937.2,124139.7,28310.8,52422.8,80733.6,530,4387747221.0,185177835.7
2016-05-01,4,9,11,9,33,4,13,3,20,2441,143719.3,98045.1,241764.4,77114.3,63890.7,141005.0,2441,7997411634.0,304762315.3
2016-06-01,5,15,19,9,48,9,9,5,23,2643,217895.3,79077.0,296972.3,119950.4,40017.4,159967.8,2643,11580046935.0,326232580.0
2016-07-01,7,12,14,13,46,3,10,3,16,1311,95408.9,17100.8,112509.7,54617.4,9315.6,63933.0,1311,2929842555.0,111595532.0
2016-08-01,8,16,7,15,46,7,13,4,24,803,48220.7,69282.7,117503.4,24816.3,39426.4,64242.7,803,5215957506.0,253163768.4
2016-09-01,5,14,13,15,47,7,14,5,26,1224,157347.7,48255.5,205603.2,92486.9,20682.9,113169.8,1224,8584410090.0,370984340.0
2016-10-01,11,7,15,10,43,3,8,3,14,674,35607.2,92416.5,128023.7,18764.2,61630.4,80394.6,674,3451873000.0,285989934.2
2016-11-01,5,9,10,12,36,4,15,3,22,632,41330.0,152532.2,193862.2,22625.8,78460.5,101086.3,632,7264569532.0,663065372.0
2016-12-01,10,8,16,19,53,6,9,4,19,2533,148079.2,97974.6,246053.8,88396.7,51986.5,140383.2,2533,8172298468.0,285288626.0
2017-01-01,8,7,13,13,41,2,12,2,16,181,12305.0,71727.7,84032.7,6391.4,35643.3,42034.7,181,3643320787.0,383380694.9
2017-02-01,8,13,14,19,54,2,6,2,10,148,9326.8,29530.8,38857.6,4081.5,21901.1,25982.6,148,1107510865.0,801352387.0
2017-03-01,7,9,13,13,42,6,12,4,22,4181,277916.4,94282.1,372198.5,154602.1,59465.8,214067.9,4181,11718401104.0,877765268.9
2017-04-01,11,8,12,10,41,4,7,2,13,1066,76779.2,25793.4,102572.6,42233.2,14111.2,56344.4,1066,3823125000.0,256882045.5
2017-05-01,13,7,16,11,47,2,17,4,23,1012,30752.9,86474.8,117227.7,15278.3,55206.7,70485.0,1012,3772315778.0,271203527.6
2017-06-01,8,17,13,22,60,5,11,4,20,2341,157317.6,72690.4,230008.0,82962.7,40811.1,123773.8,2341,9712851123.0,216556590.0
2017-07-01,7,10,9,15,41,6,11,2,19,2464,190450.2,97754.2,288204.4,107161.1,69341.8,176502.9,2464,11681585299.0,322405633.0
2017-08-01,10,13,7,10,40,4,13,2,19,1183,68408.9,97560.5,165969.4,39018.0,59937.5,98955.5,1183,5445431569.0,704578937.4
2017-09-01,6,7,12,10,35,4,14,0,18,481,48260.7,414773.0,463033.7,25174.5,231701.9,256876.4,481,16076572500.0,730218208.0
2017-10-01,6,4,18,13,41,4,6,1,11,1218,88153.3,9776.9,97930.2,47924.5,7117.3,55041.8,1218,3828494270.0,268584923.4
2017-11-01,13,13,17,10,53,3,11,1,15,476,19925.0,67052.9,86977.9,10291.1,44228.6,54519.7,476,4121878777.0,1000239754.0
2017-12-01,7,6,18,14,45,2,10,6,18,3180,185867.6,146041.6,331909.2,99363.3,103206.1,202569.4,3180,14026230170.0,304225501.0
2018-01-01,6,6,11,10,33,3,12,2,17,344,35312.9,46733.1,82046.0,19421.1,32342.1,51763.2,344,4209552205.0,430694586.6
2018-02-01,7,9,12,11,39,6,8,0,14,488,59403.3,35284.3,94687.6,37536.7,21033.0,58569.7,488,3161765862.0,418169336.0
2018-03-01,10,8,18,10,46,3,17,3,23,427,48318.3,71768.6,120086.9,26918.8,42613.8,69532.6,427,3818053022.0,857670419.0
2018-04-01,8,14,9,9,40,3,19,3,25,1204,100214.8,171536.3,271751.1,58327.3,107015.8,165343.1,1204,12766052542.0,961096227.0
2018-05-01,7,6,12,11,36,3,9,4,16,2717,185470.8,52154.5,237625.3,98537.1,32134.9,130672.0,2717,9377531970.0,561577969.6
2018-06-01,6,4,16,12,38,3,19,1,23,1056,77736.7,71357.2,149093.9,40626.2,32060.2,72686.4,1056,5652577756.0,371141818.0
2018-07-01,7,7,9,9,32,2,12,9,23,2932,189051.7,192769.0,381820.7,106027.2,50087.2,156114.4,2932,11066310526.0,458011316.2
2018-08-01,5,9,15,14,43,4,15,4,23,2414,117894.0,104003.4,221897.4,65051.9,64611.4,129663.3,2414,7229811302.0,1424729106.0
2018-09-01,1,7,16,11,35,4,11,3,18,1095,112009.8,145284.2,257294.0,62419.7,95281.3,157701.0,1095,8608446388.0,651822246.7
2018-10-01,11,13,10,12,46,4,12,4,20,409,38720.3,189064.1,227784.4,20167.5,87404.0,107571.5,409,13335196501.0,274725205.5
2018-11-01,5,13,13,11,42,5,10,1,16,2617,184421.4,47189.8,231611.2,106652.2,32409.9,139062.1,2617,6026372081.0,504298356.0
2018-12-01,11,7,9,10,37,4,8,6,18,5281,273524.1,50688.7,324212.8,145754.6,25062.6,170817.2,5281,13828423955.0,107641303.0
2019-01-01,9,7,15,12,43,2,13,1,16,421,41725.9,38058.4,79784.3,24239.0,22101.9,46340.9,421,2593436810.0,735029368.1
2019-02-01,4,4,9,14,31,0,16,1,17,118,3819.5,177703.3,181522.8,1548.2,109975.4,111523.6,118,5861299598.0,403020656.0
2019-03-01,11,7,8,9,35,3,14,2,19,432,13792.4,88192.0,101984.4,6754.8,47887.9,54642.7,432,5317314869.0,802444375.0
2019-04-01,5,7,15,14,41,6,11,3,20,1545,65772.3,178008.6,243780.9,36345.5,125849.6,162195.1,1545,7427012832.0,487242865.0
2019-05-01,6,7,14,13,40,4,16,1,21,1347,122336.9,174040.0,296376.9,71364.6,104794.6,176159.2,1347,8743390477.0,473385330.0
2019-06-01,10,10,9,7,36,3,13,3,19,1871,124792.7,126400.5,251193.2,65823.2,68853.9,134677.1,1871,10550318278.0,335141654.0
2019-07-01,14,9,14,16,53,5,11,2,18,526,19648.2,37343.2,56991.4,10474.7,24043.8,34518.5,526,2437592386.0,400093396.3
2019-08-01,6,9,18,13,46,2,10,1,13,205,6396.1,22655.6,29051.7,3296.8,12216.7,15513.5,205,1176358668.0,285892086.0
2019-09-01,5,10,22,14,51,13,19,4,36,4085,250822.8,71744.5,322567.3,133646.8,46905.3,180552.1,4085,10104613695.0,274066328.8
2019-10-01,8,15,9,11,43,6,12,1,19,2074,120439.5,56318.0,176757.5,64858.4,16288.6,81147.0,2074,7670018435.0,1874669978.0
2019-11-01,8,11,17,10,46,3,14,1,18,749,50642.9,83512.3,134155.2,26705.1,55368.0,82073.1,749,6735038753.0,1156398958.0
2019-12-01,10,10,9,15,44,5,12,5,22,1048,54184.2,99240.1,153424.3,29001.2,58567.1,87568.3,1048,4272695535.0,523852718.0
2020-01-01,7,2,12,5,26,0,12,4,16,711,27978.3,12214.5,40192.8,14479.7,6780.6,21260.3,711,1518231946.0,535145402.0
2020-02-01,2,4,5,4,15,3,8,3,14,2912,149306.3,67593.6,216899.9,77604.7,51304.9,128909.6,2912,3670602848.0,473738143.9
2020-03-01,12,9,11,10,42,2,19,4,25,1413,86556.5,115409.2,201965.7,47811.9,57672.2,105484.1,1413,7684678800.0,503988829.8
2020-04-01,6,3,13,10,32,3,11,1,15,2526,164186.6,41038.0,205224.6,101072.8,12459.2,113532.0,2526,3632527754.0,419021656.5
2020-05-01,10,9,11,12,42,5,9,4,18,3754,200753.6,112707.5,313461.1,109800.4,55509.2,165309.6,3754,12064399753.0,704079243.5
2020-06-01,9,10,15,17,51,4,16,3,23,1365,135228.7,51240.1,186468.8,67927.2,33672.9,101600.1,1365,7181292550.0,393289540.0
2020-07-01,5,9,7,15,36,8,9,0,17,172,10213.0,5506.6,15719.6,4822.5,3184.8,8007.3,172,3762354998.0,437223831.4
2020-08-01,5,3,13,19,40,2,10,0,12,1622,108258.3,20646.0,128904.3,60844.6,10552.2,71396.8,1622,7205371260.0,532280863.0
2020-09-01,6,11,16,13,46,2,18,1,21,612,21956.4,94586.3,116542.7,10363.2,55244.8,65608.0,612,3557835068.0,717690257.0
2020-10-01,7,7,16,12,42,2,9,0,11,393,15724.7,40393.0,56117.7,6319.7,25917.3,32237.0,393,2747940660.0,686118539.0
2020-11-01,14,7,12,12,45,2,15,5,22,4392,290163.0,32752.3,322915.3,162072.4,13132.1,175204.5,4392,15413485750.0,575638791.7
2020-12-01,9,7,17,12,45,6,16,2,24,2811,144016.2,99319.5,243335.7,78623.9,58562.4,137186.3,2811,14302236459.0,456135719.0
2021-01-01,7,2,13,14,36,1,13,1,15,468,24111.8,28086.4,52198.2,13238.2,16782.9,30021.1,468,2121361290.0,274525250.3
2021-02-01,10,8,10,18,46,5,5,1,11,783,46451.7,2385.6,48837.3,25498.6,996.7,26495.3,783,3083407455.0,356637039.0
2021-03-01,9,10,16,13,48,4,20,1,25,1964,111689.5,99269.9,210959.4,55638.0,46874.4,102512.4,1964,6949320659.0,661983801.0
2021-04-01,12,5,10,11,38,4,7,4,15,1973,123833.3,55111.0,178944.3,74551.1,26755.9,101307.0,1973,5623018000.0,542463720.0
