user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,table_title,source_name,prod_type,prod_typedesc
3,Industrial,M,197904,ELEC_LOCAL,Terajoule,1088,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197904,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197905,ELEC_LOCAL,Terajoule,2943,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197905,ELEC_LOCAL,Terajoule,578,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197905,ELEC_LOCAL,Terajoule,1145,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197905,ELEC_LOCAL,Terajoule,1210,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197905,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197906,ELEC_LOCAL,Terajoule,3127,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197906,ELEC_LOCAL,Terajoule,642,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197906,ELEC_LOCAL,Terajoule,1220,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197906,ELEC_LOCAL,Terajoule,1257,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197906,ELEC_LOCAL,Terajoule,8,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197907,ELEC_LOCAL,Terajoule,3547,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197907,ELEC_LOCAL,Terajoule,822,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197907,ELEC_LOCAL,Terajoule,1373,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197907,ELEC_LOCAL,Terajoule,1342,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197907,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197908,ELEC_LOCAL,Terajoule,3641,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197908,ELEC_LOCAL,Terajoule,893,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197908,ELEC_LOCAL,Terajoule,1385,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197908,ELEC_LOCAL,Terajoule,1354,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197908,ELEC_LOCAL,Terajoule,9,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197909,ELEC_LOCAL,Terajoule,3447,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197909,ELEC_LOCAL,Terajoule,824,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197909,ELEC_LOCAL,Terajoule,1331,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197909,ELEC_LOCAL,Terajoule,1283,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197909,ELEC_LOCAL,Terajoule,9,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,Y,1980,ELEC_LOCAL,Terajoule,39318,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,Y,1980,ELEC_LOCAL,Terajoule,8414,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,Y,1980,ELEC_LOCAL,Terajoule,15647,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,Y,1980,ELEC_LOCAL,Terajoule,15125,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,Y,1980,ELEC_LOCAL,Terajoule,132,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198001,ELEC_LOCAL,Terajoule,2819,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198001,ELEC_LOCAL,Terajoule,558,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198001,ELEC_LOCAL,Terajoule,1064,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198001,ELEC_LOCAL,Terajoule,1185,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198001,ELEC_LOCAL,Terajoule,12,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198010,ELEC_LOCAL,Terajoule,3660,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198010,ELEC_LOCAL,Terajoule,764,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198010,ELEC_LOCAL,Terajoule,1519,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198010,ELEC_LOCAL,Terajoule,1366,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198010,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198011,ELEC_LOCAL,Terajoule,3175,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198011,ELEC_LOCAL,Terajoule,608,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198011,ELEC_LOCAL,Terajoule,1302,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198011,ELEC_LOCAL,Terajoule,1253,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198011,ELEC_LOCAL,Terajoule,12,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
