period_month,public_transport_ferries_avg_daily_pax,public_transport_fran_bus_avg_daily_pax,public_transport_lrb_avg_daily_pax,public_transport_plb_avg_daily_pax,public_transport_rs_avg_daily_pax,public_transport_railways_avg_daily_pax,public_transport_tax_avg_daily_pax
2013-01-01,127.88287096774201,3925.29096774194,130.447129032258,1883.2875161290372,238.447612903226,5086.0319677419375,975.288438483871
2013-02-01,137.4713928571429,3897.279107142854,122.869821428571,1833.789571428576,228.953214285714,4907.603250000004,1016.26155175
2013-03-01,135.4674516129032,3876.3776451612866,127.431451612903,1850.8296451612869,234.407677419355,4953.502032258064,1023.49893954839
2013-04-01,129.6276999999999,3819.9487999999965,126.835,1846.19573333333,235.974166666667,4892.227566666664,971.472274633333
2013-05-01,139.87841935483868,3853.7398387096796,129.236096774194,1848.644645161291,238.662193548387,4913.352483870963,1001.99468532258
2013-06-01,132.2318999999999,3843.1483333333376,128.717433333333,1865.448366666667,241.401766666667,4932.75393333333,1029.73028626667
2013-07-01,135.0554838709678,3897.0724516128985,127.528258064516,1869.149774193546,236.431774193548,5112.722774193544,1037.58866122581
2013-08-01,137.3410645161291,3845.1980645161266,124.52364516129,1851.535322580645,240.278,5079.606806451614,1047.03174648387
2013-09-01,126.18513333333331,3927.8922333333308,137.156566666667,1881.47316666667,243.507433333333,5114.543633333329,1028.70757893333
2013-10-01,145.0147419354838,4029.940645161295,138.942096774194,1890.8189999999959,243.338935483871,5186.98487096774,1011.66010496774
2013-11-01,140.44389999999999,4054.4832333333343,139.771533333333,1901.74936666667,244.4002,5302.723199999997,1015.84927903333
2013-12-01,140.79367741935482,3925.218645161287,135.550709677419,1844.821677419351,233.908258064516,5256.532903225805,967.571582935484
2014-01-01,133.6524838709677,4017.2172580645206,137.743967741935,1870.595419354838,235.340387096774,5276.990161290318,967.610924935484
2014-02-01,138.5933214285713,3878.148357142856,128.466357142857,1811.9006785714332,232.65175,5018.11971428571,969.821571392857
2014-03-01,132.5907096774194,3972.7899354838664,136.626870967742,1856.183806451611,234.19635483871,5145.343548387099,981.082279322581
2014-04-01,144.1276999999999,3925.6721666666704,133.183266666667,1812.4014,230.101166666667,4997.872766666663,939.4209457
2014-05-01,128.12058064516128,3916.1630645161263,136.802419354839,1834.3724193548421,236.665806451613,5009.08393548387,977.942265387097
2014-06-01,128.40726666666671,3946.7160999999965,136.8249,1860.86093333333,240.9027,5040.379766666664,1003.68666936667
