period_month,electricity_commercial_tj,electricity_domestic_tj,electricity_industrial_tj,electricity_street_lighting_tj,electricity_total_tj,gas_total_tj,electricity_export_to_mainland_tj
2022-06-01,10294.0,4682.0,1044.0,22.0,16042.0,1908.0,
2022-07-01,11194.0,5675.0,1059.0,20.0,17948.0,2071.0,
2022-08-01,10754.0,5226.0,1074.0,23.0,17076.0,1968.0,
2022-09-01,9895.0,5603.0,935.0,24.0,16456.0,1877.0,
2022-10-01,9065.0,3685.0,938.0,26.0,13713.0,1887.0,
2022-11-01,8108.0,2991.0,894.0,24.0,12017.0,2229.0,
2022-12-01,7618.1544,2625.3432,853.1388,23.8896,11120.526,2483.0,
2023-01-01,7349.7636,2766.5424,843.0192,27.0684,10986.3936,2942.0,
2023-02-01,6692.4288,2539.98,750.6288,22.3992,10005.4368,2861.0,
2023-03-01,7954.5132,2625.2136,861.8976,4.878,11446.5024,2386.0,
2023-04-01,8281.5948,2660.6628,924.4656,35.6724,11902.3956,2540.0,
2023-05-01,10011.8232,3449.8836,1031.3244,21.9276,14514.9588,2163.0,
2023-06-01,10584.1548,4921.434,1049.5476,19.6272,16574.7636,2075.0,
2023-07-01,10987.5384,5530.626,1057.86,19.7064,17595.7308,1871.0,
2023-08-01,10854.6048,5476.4136,1051.4052,19.5192,17401.9428,1877.0,
2023-09-01,9620.4996,5067.2988,954.5472,20.9952,15663.3408,1902.0,
2023-10-01,9382.932,3768.3396,901.4004,23.292,14075.964,1895.0,
2023-11-01,8243.4672,2861.2836,838.2276,21.87,11964.8484,2219.0,
2023-12-01,7883.5788,2658.5856,861.7392,21.6396,11425.5432,2394.0,
2024-01-01,7860.672,2497.9284,891.8784,25.5708,11276.0496,2861.0,
2024-02-01,6993.1152,2666.4984,798.8436,21.0204,10479.4776,2882.0,
2024-03-01,7903.4004,3029.742,858.8592,18.1476,11810.1492,2493.0,
2024-04-01,9302.76,3410.6148,961.8156,20.1132,13695.3036,2466.0,
2024-05-01,9729.4464,3314.61,1027.1304,20.7648,14091.9516,2107.0,
2024-06-01,10067.3208,4746.582,1070.8452,17.0856,15901.8336,2122.0,
2024-07-01,11392.038,5265.378,1105.5672,18.558,17781.5412,1886.0,
2024-08-01,10677.1572,5737.77,1040.4828,18.3204,17473.7304,1890.0,
2024-09-01,10182.6432,5244.6492,1001.0556,20.1816,16448.5296,1879.0,
2024-10-01,9574.2576,4111.704,871.1964,21.0816,14578.2396,1860.0,
2024-11-01,8261.5068,2922.5952,811.4076,20.07,12015.5796,2157.0,
2024-12-01,7608.0132,2609.1684,800.2404,21.6828,11039.1048,2554.0,
2025-01-01,7515.72,2706.2568,747.3168,20.2176,10989.5112,2766.0,
2025-02-01,6872.9436,2360.4948,776.7396,21.3372,10031.5152,2852.0,
2025-03-01,7970.2776,2762.5932,803.0268,18.9936,11554.8912,2398.0,
2025-04-01,8275.0788,2848.572,894.1968,17.3592,12035.2068,2666.0,
2025-05-01,10057.2048,3905.5464,954.342,16.9452,14934.0384,2117.0,
2025-06-01,10600.9884,4441.446,1062.7164,17.154,16122.3048,2136.0,
2025-07-01,11156.8176,5232.7584,1029.6864,17.5824,17436.8448,1888.0,
2025-08-01,10494.8784,5228.0856,1056.7152,17.7336,16797.4128,1914.22,
2025-09-01,10210.9788,5209.4124,916.0056,19.5156,16355.9124,1889.21,
2025-10-01,9865.6992,4426.9884,946.494,20.0556,15259.2372,1853.13,
2025-11-01,8056.0224,2738.7864,804.9528,19.0296,11618.7912,2317.51,
2025-12-01,7772.382,2610.0072,893.9592,21.3192,11297.6676,2384.49,
2026-01-01,7903.5264,2587.5936,808.1352,20.2104,11319.4656,2756.77,
2026-02-01,7056.054,2257.254,831.6396,18.4572,10163.4048,2788.6,
