"Year","Month","Demolition (MD 5.2)","Site Formation","Foundation","General building & Superstructure (MD5.4)","Total"
"2023","1","7","2","13","10","32"
"2023","2","7","6","6","9","28"
"2023","3","9","3","10","26","48"
"2023","4","8","5","10","11","34"
"2023","5","9","10","12","14","45"
"2023","6","8","8","10","13","39"
"2023","7","5","7","12","9","33"
"2023","8","4","9","10","10","33"
"2023","9","13","4","9","7","33"
"2023","10","9","11","12","16","48"
"2023","11","9","3","11","15","38"
"2023","12","7","10","6","11","34"
"2024","1","8","4","11","6","29"
"2024","2","6","4","5","15","30"
"2024","3","11","9","9","6","35"
"2024","4","8","8","11","14","41"
"2024","5","7","6","9","10","32"
"2024","6","1","7","8","6","22"
"2024","7","5","3","7","9","24"
"2024","8","4","9","7","10","30"
"2024","9","9","4","9","11","33"
"2024","10","4","4","6","12","26"
"2024","11","4","5","3","6","18"
"2024","12","2","7","5","13","27"
"2025","1","6","7","5","7","25"
"2025","2","3","3","2","12","20"
"2025","3","9","3","7","10","29"
"2025","4","2","6","3","5","16"
"2025","5","3","7","7","7","24"
"2025","6","4","9","4","11","28"
"2025","7","4","2","8","16","30"
"2025","8","2","1","4","11","18"
"2025","9","4","9","9","8","30"
"2025","10","2","12","7","6","27"
"2025","11","6","9","4","5","24"
"2025","12","2","13","4","4","23"
"2026","1","4","8","11","5","28"
