"Year","Month","Domestic GFA","Non-domestic GFA","Total GFA","Domestic UFA","Non-domestic UFA","Total UFA","Total no. of domestic units#","Total declared building costs (HK$)","Total declared building costs (HK$) (Alteration and Addition work)"
"2016","10","35607.2","92416.5","128023.7","18764.2","61630.4","80394.6","674","3451873000","285989934.2"
"2016","11","41330","152532.2","193862.2","22625.8","78460.5","101086.3","632","7264569532","663065372"
"2016","12","148079.2","97974.6","246053.8","88396.7","51986.5","140383.2","2533","8172298468","285288626"
"2017","1","12305","71727.7","84032.7","6391.4","35643.3","42034.7","181","3643320787","383380694.9"
"2017","2","9326.8","29530.8","38857.6","4081.5","21901.1","25982.6","148","1107510865","801352387"
"2017","3","277916.4","94282.1","372198.5","154602.1","59465.8","214067.9","4181","11718401104","877765268.9"
"2017","4","76779.2","25793.4","102572.6","42233.2","14111.2","56344.4","1066","3823125000","256882045.5"
"2017","5","30752.9","86474.8","117227.7","15278.3","55206.7","70485","1012","3772315778","271203527.6"
"2017","6","157317.6","72690.4","230008","82962.7","40811.1","123773.8","2341","9712851123","216556590"
"2017","7","190450.2","97754.2","288204.4","107161.1","69341.8","176502.9","2464","11681585299","322405633"
"2017","8","68408.9","97560.5","165969.4","39018","59937.5","98955.5","1183","5445431569","704578937.4"
"2017","9","48260.7","414773","463033.7","25174.5","231701.9","256876.4","481","16076572500","730218208"
"2017","10","88153.3","9776.9","97930.2","47924.5","7117.3","55041.8","1218","3828494270","268584923.4"
"2017","11","19925","67052.9","86977.9","10291.1","44228.6","54519.7","476","4121878777","1000239754"
"2017","12","185867.6","146041.6","331909.2","99363.3","103206.1","202569.4","3180","14026230170","304225501"
"2018","1","35312.9","46733.1","82046","19421.1","32342.1","51763.2","344","4209552205","430694586.6"
"2018","2","59403.3","35284.3","94687.6","37536.7","21033","58569.7","488","3161765862","418169336"
"2018","3","48318.3","71768.6","120086.9","26918.8","42613.8","69532.6","427","3818053022","857670419"
"2018","4","100214.8","171536.3","271751.1","58327.3","107015.8","165343.1","1204","12766052542","961096227"
"2018","5","185470.8","52154.5","237625.3","98537.1","32134.9","130672","2717","9377531970","561577969.6"
"2018","6","77736.7","71357.2","149093.9","40626.2","32060.2","72686.4","1056","5652577756","371141818"
"2018","7","189051.7","192769","381820.7","106027.2","50087.2","156114.4","2932","11066310526","458011316.2"
"2018","8","117894","104003.4","221897.4","65051.9","64611.4","129663.3","2414","7229811302","1424729106"
"2018","9","112009.8","145284.2","257294","62419.7","95281.3","157701","1095","8608446388","651822246.7"
"2018","10","38720.3","189064.1","227784.4","20167.5","87404","107571.5","409","13335196501","274725205.5"
"2018","11","184421.4","47189.8","231611.2","106652.2","32409.9","139062.1","2617","6026372081","504298356"
"2018","12","273524.1","50688.7","324212.8","145754.6","25062.6","170817.2","5281","13828423955","107641303"
"2019","1","41725.9","38058.4","79784.3","24239","22101.9","46340.9","421","2593436810","735029368.1"
"2019","2","3819.5","177703.3","181522.8","1548.2","109975.4","111523.6","118","5861299598","403020656"
"2019","3","13792.4","88192","101984.4","6754.8","47887.9","54642.7","432","5317314869","802444375"
"2019","4","65772.3","178008.6","243780.9","36345.5","125849.6","162195.1","1545","7427012832","487242865"
"2019","5","122336.9","174040","296376.9","71364.6","104794.6","176159.2","1347","8743390477","473385330"
"2019","6","124792.7","126400.5","251193.2","65823.2","68853.9","134677.1","1871","10550318278","335141654"
"2019","7","19648.2","37343.2","56991.4","10474.7","24043.8","34518.5","526","2437592386","400093396.3"
"2019","8","6396.1","22655.6","29051.7","3296.8","12216.7","15513.5","205","1176358668","285892086"
"2019","9","250822.8","71744.5","322567.3","133646.8","46905.3","180552.1","4085","10104613695","274066328.8"
"2019","10","120439.5","56318","176757.5","64858.4","16288.6","81147","2074","7670018435","1874669978"
"2019","11","50642.9","83512.3","134155.2","26705.1","55368","82073.1","749","6735038753","1156398958"
"2019","12","54184.2","99240.1","153424.3","29001.2","58567.1","87568.3","1048","4272695535","523852718"
"2020","1","27978.3","12214.5","40192.8","14479.7","6780.6","21260.3","711","1518231946","535145402"
"2020","2","149306.3","67593.6","216899.9","77604.7","51304.9","128909.6","2912","3670602848","473738143.9"
"2020","3","86556.5","115409.2","201965.7","47811.9","57672.2","105484.1","1413","7684678800","503988829.8"
"2020","4","164186.6","41038","205224.6","101072.8","12459.2","113532","2526","3632527754","419021656.5"
"2020","5","200753.6","112707.5","313461.1","109800.4","55509.2","165309.6","3754","12064399753","704079243.5"
"2020","6","135228.7","51240.1","186468.8","67927.2","33672.9","101600.1","1365","7181292550","393289540"
"2020","7","10213","5506.6","15719.6","4822.5","3184.8","8007.3","172","3762354998","437223831.4"
